,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
121,2011-08,1313615801.0,aci,118.77,19.7,-35.997400909681616,1140.65,6.798434515561228,-42.79583542524284
122,2012-07,1343323870.0,aci,113.56,5.26,-82.9109811565952,1360.02,27.33792741844875,-110.24890857504394
123,2012-11,1352010726.0,aci,144.73,8.26,-73.16439246263809,1427.59,33.66446949552451,-106.8288619581626
124,2013-04,1366680315.0,aci,179.32,4.89,-84.1130604288499,1578.78,47.82030635556721,-131.9333667844171
125,2013-04,1366855553.0,aci,179.32,4.76,-84.53541260558805,1585.16,48.41766225984047,-132.9530748654285
126,2003-11,1068272687.0,acn,0.076,25.05,0.0,1051.8101,0.0,0.0
127,2004-12,1102645584.0,acn,0.023,26.2,4.590818363273447,1188.0,12.948145297330772,-8.357326934057324
128,2005-02,1107990656.0,acn,0.023,25.51,1.8363273453093847,1197.01,13.804763806698576,-11.96843646138919
129,2005-04,1112576860.0,acn,0.023,24.44,-2.43512974051896,1176.12,11.818663844357454,-14.253793584876414
130,2005-09,1125785218.0,acn,0.04,25.31,1.037924151696599,1221.59,16.141687553675325,-15.103763401978727
131,2006-06,1149363854.0,acn,0.045,27.89,11.337325349301395,1270.09,20.752786078019216,-9.415460728717822
132,2006-08,1156193441.0,acn,0.034,28.57,14.051896207584827,1298.8199,23.484258232545976,-9.432362024961149
133,2006-08,1156214645.0,acn,0.034,28.57,14.051896207584827,1298.8199,23.484258232545976,-9.432362024961149
134,2006-08,1156634578.0,acn,0.034,28.36,13.21357285429141,1296.0601,23.221872465381345,-10.008299611089935
135,2006-11,1162471255.0,acn,0.027,32.96,31.57684630738523,1367.34,29.998751675801554,1.578094631583678
136,2006-11,1163192502.0,acn,0.027,33.87,35.20958083832334,1385.72,31.746215405233336,3.4633654330900043
137,2006-12,1165090632.0,acn,0.027,33.81,34.970059880239525,1400.63,33.16377167323267,1.8062882070068582
138,2007-03,1173885039.0,acn,0.018,35.39,41.27744510978044,1387.17,31.884072989981764,9.393372119798673
139,2007-05,1178336834.0,acn,0.015,39.1,56.087824351297414,1495.92,42.223391846113685,13.864432505183728
140,2007-06,1181002654.0,acn,0.015,41.24,64.63073852295409,1530.95,45.55384094524288,19.076897577711208
141,2007-07,1183691196.0,acn,0.015,42.81,70.89820359281438,1530.4399,45.505343597670354,25.39285999514403
142,2008-04,1207518171.0,acn,0.004,36.77,46.78642714570859,1372.54,30.493137496968327,16.293289648740267
143,2008-10,1224357667.0,acn,0.003,31.4,25.349301397205583,907.84,-13.687841559992616,39.0371429571982
144,2008-12,1228220893.0,acn,0.003,29.98,19.68063872255489,848.81,-19.30007137219922,38.98071009475411
145,2008-12,1229875846.0,acn,0.001,32.21,28.582834331337324,885.28,-15.832715430285369,44.41554976162269
146,2011-09,1314881497.0,acn,0.11,53.62,114.05189620758482,1204.42,14.509263601861225,99.5426326057236
147,2011-11,1320698419.0,acn,0.1,58.0,131.5369261477046,1275.92,21.30706864290428,110.22985750480032
148,2012-02,1330462021.0,acn,0.15,59.76,138.562874251497,1365.6801,29.840938017233356,108.72193623426364
149,2012-11,1351980688.0,acn,0.0,67.91,171.09780439121755,1427.59,35.72697200758959,135.37083238362797
150,2013-04,1366677922.0,acn,0.0,74.94,199.16167664670658,1578.78,50.101239758013364,149.06043688869323
151,2013-05,1368141449.0,acn,0.0,80.09,219.72055888223557,1633.7,55.32271462310546,164.3978442591301
152,2013-05,1368332849.0,act,177.28,119.86,0.0,1626.67,0.0,0.0
153,2004-01,1074994325.0,adbe,0.0,38.04,0.0,1143.9399,0.0,0.0
154,2004-08,1093115400.0,adbe,0.0,46.09,21.16193480546794,1095.17,-4.263327120594361,25.4252619260623
155,2004-11,1100265577.0,adbe,0.0,58.1,52.733964248159836,1184.17,3.5168018879313494,49.217162360228485
156,2005-02,1107778807.0,adbe,0.0,63.67,67.3764458464774,1201.72,5.050973394668719,62.32547245180868
157,2005-04,1112659942.0,adbe,0.0,66.58,75.02628811777076,1181.39,3.273782127889762,71.752505989881
158,2005-08,1125471090.0,adbe,0.0,27.12,-28.706624605678225,1220.33,6.677807112069423,-35.384431717747646
159,2006-02,1140513501.0,adbe,0.0,37.8,-0.630914826498428,1283.03,12.158864289985853,-12.789779116484281
160,2006-04,1144391797.0,adbe,0.0,36.1,-5.099894847528911,1295.5,13.248956522978167,-18.348851370507077
161,2008-12,1228386657.0,adbe,0.08,22.54,-40.7465825446898,845.22,-26.113251229369656,-14.633331315320145
162,2008-12,1228421755.0,adbe,0.08,20.44,-46.267087276550996,876.07,-23.41643123034698,-22.850656046204016
163,2008-12,1229499775.0,adbe,0.08,22.32,-41.32492113564668,904.42,-20.938154181001998,-20.386766954644685
164,2008-12,1229795354.0,adbe,0.079,22.13,-41.824395373291274,904.42,-20.938154181001998,-20.886241192289276
165,2011-04,1303603364.0,adbe,28.03,33.48,-11.987381703470037,1337.38,16.909988015978815,-28.897369719448854
166,2011-08,1312503106.0,adbe,28.17,26.15,-31.25657202944269,1199.38,4.846417193770409,-36.1029892232131
167,2011-09,1316943774.0,adbe,28.17,24.88,-34.59516298633018,1129.5601,-1.2570415631101037,-33.33812142322007
168,2011-10,1318931246.0,adbe,27.25,26.24,-31.019978969505786,1225.38,7.11926387041837,-38.13924283992416
169,2012-03,1332576787.0,adbe,25.26,33.81,-11.119873817034692,1402.89,22.636687469332962,-33.756561286367656
170,2012-07,1341189082.0,adbe,24.76,32.37,-14.90536277602524,1365.51,19.369033285752153,-34.274396061777395
171,2004-01,1074565758.0,adi,0.0,50.5,0.0,1138.77,0.0,0.0
172,2004-05,1084373187.0,adi,0.0,45.04,-10.811881188118813,1097.28,-3.643404726151902,-7.168476461966911
173,2004-06,1087880953.0,adi,0.0,45.03,-10.831683168316829,1134.41,-0.38286923610561396,-10.448813932211214
